Kelompok Pengeluaran,Komoditas Makanan,Pengeluaran per minggu per kapita
"1,000,000 - 1,499,999",Ketumbar/jinten,135
"1,000,000 - 1,499,999",Merica/lada,220
"1,000,000 - 1,499,999",Asam,162
"1,000,000 - 1,499,999",Terasi/petis,198
"1,000,000 - 1,499,999",Kecap,573
"1,000,000 - 1,499,999",Penyedap masakan/vetsin,385
"1,000,000 - 1,499,999",Sambal jadi,57
"1,000,000 - 1,499,999",Saus tomat,72
"1,000,000 - 1,499,999","Bumbu maskan jadi/kemasan, bumbu racikan",284
"1,000,000 - 1,499,999","Bumbu dapur lainnya (pala, jahe, kunyit, dsb)",494
"1,000,000 - 1,499,999",BAHAN MAKANAN LAINNYA,2867
"1,000,000 - 1,499,999",Mie instan,2304
"1,000,000 - 1,499,999",Kerupuk,419
"1,000,000 - 1,499,999",Bubur bayi kemasan,110
"1,000,000 - 1,499,999",Lainnya,34
"1,000,000 - 1,499,999",MAKANAN MINUMAN JADI,51458
"1,000,000 - 1,499,999",Roti tawar,375
"1,000,000 - 1,499,999","Roti manis, roti lainnya",1820
"1,000,000 - 1,499,999","Kue kering, biskuit, semprong",1431
"1,000,000 - 1,499,999","Kue basah (kue lapis, bika ambon, lemper, dsb)",1877
"1,000,000 - 1,499,999",Makanan gorengan,3035
"1,000,000 - 1,499,999",Bubur kacang hijau,599
"1,000,000 - 1,499,999","Gado-gado, ketoprak, pecel",1408
"1,000,000 - 1,499,999",Nasi campur/rames,7441
"1,000,000 - 1,499,999",Nasi goreng,2110
"1,000,000 - 1,499,999",Nasi putih,1047
"1,000,000 - 1,499,999",Lontong/ketupat sayur,1393
"1,000,000 - 1,499,999","Soto, gule, sop, rawon, cincang",1456
"1,000,000 - 1,499,999","Sayur matang (ditumis, disantan, dsb)",1291
"1,000,000 - 1,499,999","Sate, tongseng",867
"1,000,000 - 1,499,999","Mie bakso, mie rebus, mie goreng",5406
"1,000,000 - 1,499,999",Mie instan,500
"1,000,000 - 1,499,999","Makanan ringan anak-anak, krupuk/kripik",2499
"1,000,000 - 1,499,999",Bubur ayam,1128
"1,000,000 - 1,499,999","Siomay, batagor",1325
"1,000,000 - 1,499,999",Makanan jadi lainnya,1429
"1,000,000 - 1,499,999",Air kemasan,992
"1,000,000 - 1,499,999",Air kemasan galon,1571
"1,000,000 - 1,499,999","Air teh kemasan, minuman bersoda/mengandung CO2",618
"1,000,000 - 1,499,999","Sari buah kemasan, minuman kesehatan, minuman berenergi",559
"1,000,000 - 1,499,999","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",3262
"1,000,000 - 1,499,999",Es krim,891
"1,000,000 - 1,499,999",Es lainnya,1361
"1,000,000 - 1,499,999",Minuman keras,90
"1,000,000 - 1,499,999",ROKOK DAN TEMBAKAU,21532
"1,000,000 - 1,499,999",Rokok kretek filter,17334
"1,000,000 - 1,499,999",Rokok kretek tanpa filter,2577
"1,000,000 - 1,499,999",Rokok putih,1331
"1,000,000 - 1,499,999",Tembakau,145
"1,000,000 - 1,499,999",Rokok dan tembakau lainnya,146
">1,500,000",PADI-PADIAN,16899
">1,500,000","Beras (beras lokal, kualitas unggul, impor)",15701
">1,500,000",Beras ketan,100
">1,500,000",Jagung basah degan kulit,446
">1,500,000",Jagung pipilan/beras jagung/jagung titi,54
">1,500,000",Tepung terigu,549
">1,500,000",Padi-padian lainnya,49
">1,500,000",UMBI-UMBIAN,2488
">1,500,000",Ketala pohon/singkong,499
">1,500,000",Ketela rambat/ubi jalar,646
">1,500,000",Sagu (bukan dari ketela pohon),55
">1,500,000",Talas/keladi,104
">1,500,000",Kentang,1151
">1,500,000",Gaplek,11
">1,500,000",Umbi-umbian lainnya,22
">1,500,000",IKAN,21566
">1,500,000",Ekor kuning,333
">1,500,000","Tongkol, tuna, cakalang, dencis, ikan kayu",1881
">1,500,000",Tenggiri,296
">1,500,000",Selar,348
">1,500,000","Kembung, lema/tatare, banyar/banyara",1494
">1,500,000",Teri,228
">1,500,000",Bandeng,1012
">1,500,000",Gabus,333
">1,500,000",Mujair,914
">1,500,000","Mas, Nila",1845
">1,500,000",Lele,1116
">1,500,000",Kakap,483
">1,500,000",Baronang,97
">1,500,000",Patin,443
">1,500,000",Bawal,404
">1,500,000",Gurame,505
">1,500,000",Ikan segar/basah lainnya,1249
">1,500,000","Udang, lobster",2122
">1,500,000","Cumi-cumi, sotong, gurita",1065
">1,500,000","Ketam, kepiting, rajungan",192
">1,500,000","Kerang, siput, bekicot, remis",116
">1,500,000",Udang dan hewan air lainnya yang segar lainnya,139
">1,500,000",Kembung diawetkan/peda,153
">1,500,000",Tenggiri diawetkan,43
">1,500,000",Tongkol/tuna/cakalang diawetkan,333
">1,500,000",Teri diawetkan,766
">1,500,000",Selar diawetkan,67
">1,500,000",Sepat diawetkan,115
">1,500,000",Bandeng diawetkan,165
">1,500,000",Gabus diawetkan,101
">1,500,000","Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)",159
">1,500,000",Ikan diawetkan lainnya,324
">1,500,000","Udang diawetkan (ebi, rebon)",77
">1,500,000","Cumi-cumi, sotong, gurita diawetkan",205
">1,500,000",Udang dan hewan air lainnya yang diawetkan,28
">1,500,000",Ikan matang,2415
">1,500,000",DAGING,18881
">1,500,000",Daging sapi,3146
">1,500,000","Daging kambing, domba/biri-biri",99
">1,500,000",Daging babi,590
">1,500,000",Daging ayam ras,6612
">1,500,000",Daging ayam kampung,1215
">1,500,000",Daging segar lainnya,191
">1,500,000",Daging diawetkan lainnya,292
">1,500,000","Tetelan, sandung lamur",214
">1,500,000","Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",406
">1,500,000","Ayam/daging matang (ayam goreng, rendang, dsb)",4760
">1,500,000","Daging olahan (sosis, nugget, daging asap, dsb) matang",1356
">1,500,000",TELUR DAN SUSU,15780
">1,500,000",Telur ayam ras,4801
">1,500,000",Telur ayam kampung,252
">1,500,000",Telur itik/telur itik manila,124
">1,500,000","Telur lainnya (telur puyuh, telur asin mentah maupun matang,",212
">1,500,000",Susu cair pabrik,1213
">1,500,000",Susu kental manis,1060
">1,500,000",Susu bubuk,4458
">1,500,000",Susu bubuk bayi,3109
">1,500,000",Susu lainnya dan hasil lain dari susu,552
">1,500,000",SAYUR-SAYURAN,15723
">1,500,000",Bayam,714
">1,500,000",Kangkung,672
">1,500,000",Kol/Kubis,279
">1,500,000",Sawi putih (petsai),301
">1,500,000",Sawi hijau,377
">1,500,000",Buncis,307
">1,500,000",Kacang panjang,449
">1,500,000","Tomat sayur, tomat ceri",615
">1,500,000",Wortel,543
">1,500,000",Mentimun,408
">1,500,000",Daun ketela pohon/daun singkong,247
">1,500,000",Terong,401
">1,500,000",Tauge,262
">1,500,000","Labu, labu siam, labu parang",324
">1,500,000",Bahan sayur sop/cap cay/ kimlo (paket),757
">1,500,000",Bahan sayur asam/lodeh (paket),443
">1,500,000",Nangka muda,76
">1,500,000",Pepaya muda,60
">1,500,000",Jengkol,372
">1,500,000",Bawang merah,2144
">1,500,000",Bawang putih,1742
">1,500,000",Cabe merah,1845
">1,500,000",Cabe hijau,271
">1,500,000",Cabe rawit,1536
">1,500,000",Sayur-sayuran lainnya,578
">1,500,000",KACANG-KACANGAN,3764
">1,500,000",Kacang tanah tanpa kulit,193
">1,500,000",Kacang kedele,20
">1,500,000",Kacang lainnya,123
">1,500,000",Tahu,1705
">1,500,000",Tempe,1668
">1,500,000",Oncom,43
">1,500,000",Hasil lain dari kacang-kacangan,13
">1,500,000",BUAH-BUAHAN,15113
">1,500,000","Jeruk, jeruk bali",2141
">1,500,000",Mangga,370
">1,500,000",Apel,1594
">1,500,000",Rambutan,844
">1,500,000","Duku, langsat",1819
">1,500,000",Durian,2239
">1,500,000",Salak,407
">1,500,000",Pisang ambon,856
">1,500,000",Pisang lainnya,1288
">1,500,000",Pepaya,820
">1,500,000",Semangka,541
">1,500,000",Tomat buah,177
">1,500,000",Buah-buahan lainnya,2019
">1,500,000",MINYAK DAN KELAPA,4392
">1,500,000",Minyak kelapa,243
">1,500,000","Minyak goreng (kelapa sawit, bunga matahari)",3586
">1,500,000",Kelapa (tidak termasuk santan instan),441
">1,500,000",Minyak dan kelapa lainnya,121
">1,500,000",BAHAN MINUMAN,5940
">1,500,000",Gula pasir,2171
">1,500,000","Gula merah, gula air (pohom aren, kelapa, lontar)",276
">1,500,000",Teh bubuk,131
">1,500,000",Teh celup (sachet),575
">1,500,000","Kopi (bubuk,biji)",775
">1,500,000",Kopi instan (sachet),1776
">1,500,000",Bahan minuman lainnya,236
">1,500,000",BUMBU-BUMBUAN,4189
">1,500,000",Garam,331
">1,500,000",Kemiri,262
">1,500,000",Ketumbar/jinten,165
">1,500,000",Merica/lada,298
">1,500,000",Asam,177
">1,500,000",Terasi/petis,208
">1,500,000",Kecap,808
">1,500,000",Penyedap masakan/vetsin,437
">1,500,000",Sambal jadi,192
">1,500,000",Saus tomat,204
">1,500,000","Bumbu maskan jadi/kemasan, bumbu racikan",484
">1,500,000","Bumbu dapur lainnya (pala, jahe, kunyit, dsb)",622
">1,500,000",BAHAN MAKANAN LAINNYA,3825
">1,500,000",Mie instan,2896
">1,500,000",Kerupuk,650
">1,500,000",Bubur bayi kemasan,160
">1,500,000",Lainnya,119
">1,500,000",MAKANAN MINUMAN JADI,96534
">1,500,000",Roti tawar,1171
">1,500,000","Roti manis, roti lainnya",3224
">1,500,000","Kue kering, biskuit, semprong",2320
">1,500,000","Kue basah (kue lapis, bika ambon, lemper, dsb)",2984
">1,500,000",Makanan gorengan,3511
">1,500,000",Bubur kacang hijau,1053
">1,500,000","Gado-gado, ketoprak, pecel",2684
">1,500,000",Nasi campur/rames,16648
">1,500,000",Nasi goreng,4525
">1,500,000",Nasi putih,2173
">1,500,000",Lontong/ketupat sayur,2082
">1,500,000","Soto, gule, sop, rawon, cincang",3600
">1,500,000","Sayur matang (ditumis, disantan, dsb)",2295
">1,500,000","Sate, tongseng",2365
">1,500,000","Mie bakso, mie rebus, mie goreng",8336
">1,500,000",Mie instan,701
">1,500,000","Makanan ringan anak-anak, krupuk/kripik",3046
">1,500,000",Bubur ayam,2527
">1,500,000","Siomay, batagor",2048
">1,500,000",Makanan jadi lainnya,2928
">1,500,000",Air kemasan,2734
">1,500,000",Air kemasan galon,3897
">1,500,000","Air teh kemasan, minuman bersoda/mengandung CO2",1145
">1,500,000","Sari buah kemasan, minuman kesehatan, minuman berenergi",1216
">1,500,000","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",4767
">1,500,000",Es krim,1509
">1,500,000",Es lainnya,2369
">1,500,000",Minuman keras,146
">1,500,000",ROKOK DAN TEMBAKAU,26446
">1,500,000",Rokok kretek filter,21125
">1,500,000",Rokok kretek tanpa filter,2191
">1,500,000",Rokok putih,2681
">1,500,000",Tembakau,71
">1,500,000",Rokok dan tembakau lainnya,378
Rata-Rata per Kapita,PADI-PADIAN,15584
Rata-Rata per Kapita,"Beras (beras lokal, kualitas unggul, impor)",14713
Rata-Rata per Kapita,Beras ketan,69
Rata-Rata per Kapita,Jagung basah degan kulit,289
Rata-Rata per Kapita,Jagung pipilan/beras jagung/jagung titi,94
Rata-Rata per Kapita,Tepung terigu,397
Rata-Rata per Kapita,Padi-padian lainnya,21
Rata-Rata per Kapita,UMBI-UMBIAN,1484
Rata-Rata per Kapita,Ketala pohon/singkong,382
Rata-Rata per Kapita,Ketela rambat/ubi jalar,381
Rata-Rata per Kapita,Sagu (bukan dari ketela pohon),52
Rata-Rata per Kapita,Talas/keladi,67
Rata-Rata per Kapita,Kentang,578
Rata-Rata per Kapita,Gaplek,11
Rata-Rata per Kapita,Umbi-umbian lainnya,14
Rata-Rata per Kapita,IKAN,11845
Rata-Rata per Kapita,Ekor kuning,189
Rata-Rata per Kapita,"Tongkol, tuna, cakalang, dencis, ikan kayu",1274
Rata-Rata per Kapita,Tenggiri,111
Rata-Rata per Kapita,Selar,241
Rata-Rata per Kapita,"Kembung, lema/tatare, banyar/banyara",838
Rata-Rata per Kapita,Teri,169
Rata-Rata per Kapita,Bandeng,614
Rata-Rata per Kapita,Gabus,216
Rata-Rata per Kapita,Mujair,546
Rata-Rata per Kapita,"Mas, Nila",969
Rata-Rata per Kapita,Lele,710
Rata-Rata per Kapita,Kakap,178
Rata-Rata per Kapita,Baronang,51
Rata-Rata per Kapita,Patin,270
Rata-Rata per Kapita,Bawal,181
Rata-Rata per Kapita,Gurame,156
Rata-Rata per Kapita,Ikan segar/basah lainnya,904
Rata-Rata per Kapita,"Udang, lobster",780
Rata-Rata per Kapita,"Cumi-cumi, sotong, gurita",390
Rata-Rata per Kapita,"Ketam, kepiting, rajungan",72
Rata-Rata per Kapita,"Kerang, siput, bekicot, remis",60
Rata-Rata per Kapita,Udang dan hewan air lainnya yang segar lainnya,63
Rata-Rata per Kapita,Kembung diawetkan/peda,134
Rata-Rata per Kapita,Tenggiri diawetkan,26
Rata-Rata per Kapita,Tongkol/tuna/cakalang diawetkan,304
Rata-Rata per Kapita,Teri diawetkan,556
Rata-Rata per Kapita,Selar diawetkan,71
Rata-Rata per Kapita,Sepat diawetkan,90
Rata-Rata per Kapita,Bandeng diawetkan,112
Rata-Rata per Kapita,Gabus diawetkan,44
Rata-Rata per Kapita,"Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)",80
Rata-Rata per Kapita,Ikan diawetkan lainnya,309
Rata-Rata per Kapita,"Udang diawetkan (ebi, rebon)",54
Rata-Rata per Kapita,"Cumi-cumi, sotong, gurita diawetkan",78
Rata-Rata per Kapita,Udang dan hewan air lainnya yang diawetkan,24
Rata-Rata per Kapita,Ikan matang,981
Rata-Rata per Kapita,DAGING,8918
Rata-Rata per Kapita,Daging sapi,1027
Rata-Rata per Kapita,"Daging kambing, domba/biri-biri",39
Rata-Rata per Kapita,Daging babi,323
Rata-Rata per Kapita,Daging ayam ras,3648
Rata-Rata per Kapita,Daging ayam kampung,653
Rata-Rata per Kapita,Daging segar lainnya,93
Rata-Rata per Kapita,Daging diawetkan lainnya,95
Rata-Rata per Kapita,"Tetelan, sandung lamur",79
Rata-Rata per Kapita,"Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",213
Rata-Rata per Kapita,"Ayam/daging matang (ayam goreng, rendang, dsb)",1865
Rata-Rata per Kapita,"Daging olahan (sosis, nugget, daging asap, dsb) matang",883
Rata-Rata per Kapita,TELUR DAN SUSU,8134
Rata-Rata per Kapita,Telur ayam ras,3303
Rata-Rata per Kapita,Telur ayam kampung,147
Rata-Rata per Kapita,Telur itik/telur itik manila,73
Rata-Rata per Kapita,"Telur lainnya (telur puyuh, telur asin mentah maupun matang,",98
Rata-Rata per Kapita,Susu cair pabrik,480
Rata-Rata per Kapita,Susu kental manis,718
Rata-Rata per Kapita,Susu bubuk,1673
Rata-Rata per Kapita,Susu bubuk bayi,1454
Rata-Rata per Kapita,Susu lainnya dan hasil lain dari susu,188
Rata-Rata per Kapita,SAYUR-SAYURAN,10592
Rata-Rata per Kapita,Bayam,471
Rata-Rata per Kapita,Kangkung,483
Rata-Rata per Kapita,Kol/Kubis,181
Rata-Rata per Kapita,Sawi putih (petsai),160
Rata-Rata per Kapita,Sawi hijau,215
Rata-Rata per Kapita,Buncis,165
Rata-Rata per Kapita,Kacang panjang,345
Rata-Rata per Kapita,"Tomat sayur, tomat ceri",395
Rata-Rata per Kapita,Wortel,267
Rata-Rata per Kapita,Mentimun,251
Rata-Rata per Kapita,Daun ketela pohon/daun singkong,276
Rata-Rata per Kapita,Terong,329
Rata-Rata per Kapita,Tauge,163
Rata-Rata per Kapita,"Labu, labu siam, labu parang",210
Rata-Rata per Kapita,Bahan sayur sop/cap cay/ kimlo (paket),468
Rata-Rata per Kapita,Bahan sayur asam/lodeh (paket),260
Rata-Rata per Kapita,Nangka muda,55
Rata-Rata per Kapita,Pepaya muda,78
Rata-Rata per Kapita,Jengkol,247
Rata-Rata per Kapita,Bawang merah,1516
Rata-Rata per Kapita,Bawang putih,1202
Rata-Rata per Kapita,Cabe merah,1158
Rata-Rata per Kapita,Cabe hijau,164
Rata-Rata per Kapita,Cabe rawit,1120
Rata-Rata per Kapita,Sayur-sayuran lainnya,414
Rata-Rata per Kapita,KACANG-KACANGAN,2719
Rata-Rata per Kapita,Kacang tanah tanpa kulit,120
Rata-Rata per Kapita,Kacang kedele,12
Rata-Rata per Kapita,Kacang lainnya,82
Rata-Rata per Kapita,Tahu,1226
Rata-Rata per Kapita,Tempe,1242
Rata-Rata per Kapita,Oncom,31
Rata-Rata per Kapita,Hasil lain dari kacang-kacangan,7
Rata-Rata per Kapita,BUAH-BUAHAN,7027
Rata-Rata per Kapita,"Jeruk, jeruk bali",965
Rata-Rata per Kapita,Mangga,160
Rata-Rata per Kapita,Apel,566
Rata-Rata per Kapita,Rambutan,553
Rata-Rata per Kapita,"Duku, langsat",927
Rata-Rata per Kapita,Durian,879
Rata-Rata per Kapita,Salak,256
Rata-Rata per Kapita,Pisang ambon,364
Rata-Rata per Kapita,Pisang lainnya,747
Rata-Rata per Kapita,Pepaya,400
Rata-Rata per Kapita,Semangka,251
Rata-Rata per Kapita,Tomat buah,111
Rata-Rata per Kapita,Buah-buahan lainnya,848
Rata-Rata per Kapita,MINYAK DAN KELAPA,3303
Rata-Rata per Kapita,Minyak kelapa,190
Rata-Rata per Kapita,"Minyak goreng (kelapa sawit, bunga matahari)",2680
Rata-Rata per Kapita,Kelapa (tidak termasuk santan instan),381
Rata-Rata per Kapita,Minyak dan kelapa lainnya,52
Rata-Rata per Kapita,BAHAN MINUMAN,4279
Rata-Rata per Kapita,Gula pasir,1830
Rata-Rata per Kapita,"Gula merah, gula air (pohom aren, kelapa, lontar)",203
Rata-Rata per Kapita,Teh bubuk,135
Rata-Rata per Kapita,Teh celup (sachet),363
Rata-Rata per Kapita,"Kopi (bubuk,biji)",616
Rata-Rata per Kapita,Kopi instan (sachet),1047
Rata-Rata per Kapita,Bahan minuman lainnya,85
Rata-Rata per Kapita,BUMBU-BUMBUAN,2756
Rata-Rata per Kapita,Garam,273
Rata-Rata per Kapita,Kemiri,185
Rata-Rata per Kapita,Ketumbar/jinten,118
Rata-Rata per Kapita,Merica/lada,200
Rata-Rata per Kapita,Asam,137
Rata-Rata per Kapita,Terasi/petis,170
Rata-Rata per Kapita,Kecap,500
Rata-Rata per Kapita,Penyedap masakan/vetsin,345
Rata-Rata per Kapita,Sambal jadi,68
Rata-Rata per Kapita,Saus tomat,76
Rata-Rata per Kapita,"Bumbu maskan jadi/kemasan, bumbu racikan",263
Rata-Rata per Kapita,"Bumbu dapur lainnya (pala, jahe, kunyit, dsb)",422
Rata-Rata per Kapita,BAHAN MAKANAN LAINNYA,2467
Rata-Rata per Kapita,Mie instan,1958
Rata-Rata per Kapita,Kerupuk,368
Rata-Rata per Kapita,Bubur bayi kemasan,96
Rata-Rata per Kapita,Lainnya,45
Rata-Rata per Kapita,MAKANAN MINUMAN JADI,48238
Rata-Rata per Kapita,Roti tawar,436
Rata-Rata per Kapita,"Roti manis, roti lainnya",1776
Rata-Rata per Kapita,"Kue kering, biskuit, semprong",1312
Rata-Rata per Kapita,"Kue basah (kue lapis, bika ambon, lemper, dsb)",1733
Rata-Rata per Kapita,Makanan gorengan,2645
Rata-Rata per Kapita,Bubur kacang hijau,543
Rata-Rata per Kapita,"Gado-gado, ketoprak, pecel",1306
Rata-Rata per Kapita,Nasi campur/rames,7251
Rata-Rata per Kapita,Nasi goreng,1938
Rata-Rata per Kapita,Nasi putih,1006
Rata-Rata per Kapita,Lontong/ketupat sayur,1151
Rata-Rata per Kapita,"Soto, gule, sop, rawon, cincang",1511
Rata-Rata per Kapita,"Sayur matang (ditumis, disantan, dsb)",1216
Rata-Rata per Kapita,"Sate, tongseng",908
Rata-Rata per Kapita,"Mie bakso, mie rebus, mie goreng",4586
Rata-Rata per Kapita,Mie instan,419
Rata-Rata per Kapita,"Makanan ringan anak-anak, krupuk/kripik",2195
Rata-Rata per Kapita,Bubur ayam,1126
Rata-Rata per Kapita,"Siomay, batagor",1191
Rata-Rata per Kapita,Makanan jadi lainnya,1466
Rata-Rata per Kapita,Air kemasan,1049
Rata-Rata per Kapita,Air kemasan galon,1608
Rata-Rata per Kapita,"Air teh kemasan, minuman bersoda/mengandung CO2",587
Rata-Rata per Kapita,"Sari buah kemasan, minuman kesehatan, minuman berenergi",575
Rata-Rata per Kapita,"Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",2819
Rata-Rata per Kapita,Es krim,793
Rata-Rata per Kapita,Es lainnya,1279
Rata-Rata per Kapita,Minuman keras,83
Rata-Rata per Kapita,ROKOK DAN TEMBAKAU,17136
Rata-Rata per Kapita,Rokok kretek filter,13423
Rata-Rata per Kapita,Rokok kretek tanpa filter,2175
Rata-Rata per Kapita,Rokok putih,1201
Rata-Rata per Kapita,Tembakau,150
Rata-Rata per Kapita,Rokok dan tembakau lainnya,186
